District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Map Academy Charter School (District),35170000,       108,    41.7,    29.6,        83,    75.9
New Heights Charter School of Brockton (District),35130000,        11,    27.3,     0.0,        11,    72.7
Greenfield Commonwealth Virtual District,39010000,       465,    44.3,    32.3,       358,    72.3
Benjamin Banneker Charter Public (District),04200000,         7,    28.6,     0.0,         7,    71.4
Paulo Freire Social Justice Charter School (District),35010000,        14,    35.7,     7.1,        13,    69.2
TEC Connections Academy Commonwealth Virtual School District,39020000,"     1,915",    48.5,    35.5,"     1,455",    67.8
Martin Luther King Jr. Charter School of Excellence (District),04920000,         9,    33.3,    11.1,         9,    66.7
UP Academy Charter School of Boston (District),04800000,        17,    47.1,    23.5,        14,    64.3
Lowell Middlesex Academy Charter (District),04580000,        37,    48.6,    21.6,        31,    61.3
Phoenix Academy Public Charter High School Springfield (District),35080000,        22,    50.0,    18.2,        19,    57.9
Phoenix Academy Public Charter High School Lawrence (District),35180000,        12,    66.7,    41.7,         7,    57.1
Dudley Street Neighborhood Charter School (District),04070000,         6,    50.0,    16.7,         6,    50.0
Phoenix Charter Academy (District),04930000,        16,    68.8,    37.5,        13,    38.5
