District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Concord,00670000,   4.7,   6.9,   6.3,   7.4,   5.4,   8.9,   9.4,   3.0,,,,,   6.5
Concord-Carlisle,06400000,,,,,,,,,,   2.9,   4.0,   1.9,   2.9
Conservatory Lab Charter (District),04390000,   9.3,   3.7,   7.4,   3.7,   8.9,  16.7,  20.0,   9.1,,,,,   9.2
Conway,00680000,   7.1,   0.0,   6.3,   0.0,   9.1,  10.5,,,,,,,   5.9
Danvers,00710000,   6.6,   5.2,   6.9,   4.5,   3.4,   4.9,   5.9,   5.3,  25.3,   3.3,   1.9,   2.6,   6.6
Dartmouth,00720000,  10.0,   6.9,   7.3,   5.5,   5.4,   5.4,   2.2,   2.9,  32.3,   1.3,   2.4,   0.4,   7.2
Dedham,00730000,  10.5,  10.2,   7.6,  10.4,   7.2,   7.1,   7.7,   4.3,  23.4,   4.0,   3.5,   1.1,   8.2
Deerfield,00740000,   3.9,  17.4,   3.6,   4.4,   5.1,   9.8,,,,,,,   7.3
Dennis-Yarmouth,06450000,   8.2,   9.7,   6.9,   8.8,   5.3,  19.3,   4.4,   6.6,  32.4,   7.3,   5.7,   4.1,  10.0
Dighton-Rehoboth,06500000,  13.4,   9.9,   9.7,   6.3,   9.3,   6.0,   8.1,   5.1,  40.7,   1.1,   2.7,   0.0,  10.2
Douglas,00770000,  12.2,  12.1,  10.1,   6.3,   4.1,   6.5,   4.8,   5.8,  33.3,   0.0,   2.2,   2.2,   8.9
Dover,00780000,   6.1,  10.0,   6.8,   2.3,   3.5,,,,,,,,   5.7
Dover-Sherborn,06550000,,,,,,,   2.7,   3.1,   8.5,   6.6,   1.8,   1.8,   4.1
Dracut,00790000,   9.3,   7.8,   5.9,   6.5,   8.5,   5.4,   3.0,   6.0,  35.3,   5.3,   1.3,   1.7,   8.2
Dudley Street Neighborhood Charter School (District),04070000,   7.5,   9.8,  15.0,   5.1,  11.8,,,,,,,,   9.8
Dudley-Charlton Reg,06580000,  12.6,  11.8,  11.6,   9.6,   8.3,   7.3,   3.5,   5.1,  33.2,   4.2,   3.1,   2.2,   9.7
Duxbury,00820000,   6.6,   8.9,   5.5,   6.8,   2.3,   3.1,   5.1,   4.7,   5.6,   1.7,   3.9,   1.6,   4.5
East Bridgewater,00830000,   8.1,   6.2,   3.8,   3.3,   3.0,   2.7,   3.4,   1.8,  21.8,   3.6,   1.9,   1.3,   5.2
East Longmeadow,00870000,   7.8,   8.6,   5.8,  10.4,   4.3,   4.9,   5.7,   3.7,   7.6,   2.7,   2.9,   1.8,   5.4
Eastham,00850000,  15.2,   4.2,   7.4,   0.0,   3.7,,,,,,,,   6.4
Easthampton,00860000,   7.4,   6.8,   7.0,   4.3,   6.9,  13.0,  11.2,   0.9,  16.2,   4.9,   5.1,   3.6,   7.2
Easton,00880000,   6.6,   9.8,   4.6,   5.2,   1.9,   5.1,   3.6,   3.0,  12.2,   1.8,   1.7,   3.2,   4.8
Edgartown,00890000,   4.5,   4.3,   7.7,  12.2,  10.0,  16.7,  19.0,   2.5,,,,,  10.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,,,,,,,,,,   6.9,   2.1,   2.2,   3.8
Erving,00910000,   5.9,   6.3,   0.0,   0.0,   4.8,   0.0,,,,,,,   3.5
Essex North Shore Agricultural and Technical School District,08170000,,,,,,,,,,   2.7,   2.3,   0.6,   1.9
Everett,00930000,   6.9,   7.8,   3.8,   8.9,   6.1,   4.6,   5.5,   5.5,   6.0,   3.7,   4.2,   2.0,   5.5
Excel Academy Charter (District),04100000,,,,,,   2.3,   2.3,   2.3,   9.2,   2.9,   3.0,   0.6,   3.3
Fairhaven,00940000,   6.1,   7.1,   6.8,   3.5,   7.3,   7.2,   4.6,   3.5,  46.0,   1.6,   2.5,   1.1,   8.1
Fall River,00950000,   8.1,   5.5,   6.8,   5.7,   4.8,  18.0,   4.6,   4.6,  29.8,   4.6,   3.8,   5.2,   8.5
Falmouth,00960000,   7.9,   8.8,   6.4,   7.3,   8.8,  10.1,  11.0,   4.9,  30.3,   5.1,   3.4,   1.6,   9.1
Farmington River Reg,06620000,   0.0,  16.7,   0.0,   0.0,   9.1,   9.1,,,,,,,   5.6
Fitchburg,00970000,   8.0,   7.2,   7.1,   6.0,   9.0,   7.7,  12.1,   6.8,  25.7,   3.7,   4.3,   2.0,   8.5
Florida,00980000,   0.0,  11.1,,   0.0,  25.0,  33.3,   0.0,   7.7,,,,,   9.0
Four Rivers Charter Public (District),04130000,,,,,,,,  10.5,  13.2,   5.3,  13.2,   3.6,   9.4
Foxborough,00990000,   5.5,   5.8,   4.7,   3.3,   1.3,   7.3,   5.6,   6.0,  14.3,   1.1,   3.0,   3.8,   5.3
Foxborough Regional Charter (District),04460000,   3.5,   2.8,   6.0,   6.7,   7.2,   6.2,   6.2,   5.4,  22.1,   6.8,   4.5,   0.0,   6.9
Framingham,01000000,   7.6,   5.7,   7.3,   7.4,   5.7,  22.0,   6.6,   4.1,  26.1,   6.0,   6.1,   2.1,   9.1
Francis W. Parker Charter Essential (District),04780000,,,,,,,,   2.7,   5.9,   5.4,   4.6,   0.0,   3.8
Franklin,01010000,   7.3,   5.2,   6.5,   5.1,   4.3,   4.8,   2.6,   1.5,  14.1,   2.3,   1.6,   0.7,   4.5
Franklin County Regional Vocational Technical,08180000,,,,,,,,,,   2.8,   2.9,   0.0,   2.1
Freetown-Lakeville,06650000,   9.8,   7.4,   6.9,   9.1,   9.4,   3.5,   5.2,   7.7,  28.5,   2.6,   3.8,   3.8,   8.7
Frontier,06700000,,,,,,,,   1.7,  22.3,   4.2,   0.0,   3.7,   6.8
Gardner,01030000,  12.3,  16.9,  11.9,  16.9,  11.2,   8.5,   9.3,   4.8,  20.8,   5.2,   0.0,   1.5,  10.4
Gateway,06720000,  10.2,   7.3,  11.0,   7.7,   9.2,   3.8,   3.0,   6.6,  30.9,   6.1,   5.3,   3.4,   9.0
Georgetown,01050000,  11.3,  10.7,   9.4,   6.3,  10.4,   6.8,   2.6,   3.4,  25.5,   4.8,   3.2,   2.2,   8.1
Gill-Montague,06740000,  11.6,  12.8,   2.7,   6.1,   6.7,   6.8,  20.9,   7.5,  45.5,  11.9,  14.0,   1.8,  13.2
Global Learning Charter Public (District),04960000,,,,,,   5.4,   4.3,   2.3,  60.7,   2.1,   8.1,   0.0,  14.7
Gloucester,01070000,   5.2,   5.6,   6.8,   4.7,   6.8,   6.5,   5.1,   4.4,  14.4,   5.7,   1.4,   1.4,   5.9
Gosnold,01090000,,,,,,,,,,,,,
Grafton,01100000,   5.8,   8.3,   5.8,   4.7,   3.8,   2.8,   2.9,   4.0,  23.4,   3.4,   4.9,   2.8,   6.1
Granby,01110000,  12.3,  10.3,   3.8,  17.6,   1.8,   9.1,   4.0,   9.3,  20.7,   3.4,   3.1,   1.9,   8.1
Greater Fall River Regional Vocational Technical,08210000,,,,,,,,,,   3.0,   1.4,   0.3,   1.6
Greater Lawrence Regional Vocational Technical,08230000,,,,,,,,,,   1.4,   0.5,   0.8,   0.9
Greater Lowell Regional Vocational Technical,08280000,,,,,,,,,,   2.0,   2.3,   0.6,   1.6
Greater New Bedford Regional Vocational Technical,08250000,,,,,,,,,,   2.2,   2.4,   1.6,   2.1
Greenfield,01140000,  16.5,  15.9,  14.9,   7.6,  17.7,  11.0,  17.5,   5.2,  30.0,  11.8,  12.8,   2.6,  14.1
Greenfield Commonwealth Virtual District,39010000,  28.6,  26.1,   6.9,   9.5,   0.0,   8.1,  13.9,  14.7,  20.7,  21.4,  17.8,   8.0,  15.4
Groton-Dunstable,06730000,   8.7,   5.4,   7.6,   4.7,   5.6,   4.0,   5.3,   3.8,  18.7,   3.5,   0.5,   1.6,   5.9
Hadley,01170000,  12.1,  10.3,  14.8,   9.1,   7.5,   5.9,  14.6,   7.8,   3.9,   0.0,  10.0,   2.5,   8.0
Halifax,01180000,   9.2,   6.0,   0.0,   4.0,   4.9,   2.4,,,,,,,   4.2
Hamilton-Wenham,06750000,  15.2,  13.4,  12.2,  10.1,   7.9,   9.9,  10.6,   7.3,  25.0,   7.5,   5.2,   2.1,  10.6
Hampden Charter School of Science East (District),04990000,,,,,,,   4.5,   4.4,  22.6,   8.9,  13.8,   3.5,   9.7
Hampden Charter School of Science West (District),35160000,,,,,,,   1.5,  10.9,  25.5,  11.6,   0.0,,  10.5
Hampden-Wilbraham,06800000,   7.0,   5.8,   7.0,  10.9,   7.3,   7.4,   8.0,   3.2,   4.9,   3.1,   2.2,   1.7,   5.5
Hampshire,06830000,,,,,,,,   9.8,  33.8,   7.7,   3.6,   4.0,  12.7
Hancock,01210000,  18.2,  16.7,,   0.0,,,,,,,,,   8.3
Hanover,01220000,   2.5,   2.5,   1.8,   1.9,   3.1,   1.4,   2.2,   2.3,  20.4,   1.7,   2.1,   1.0,   3.8
