School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Boston - Harvard-Kent Elementary School,00350200,  11.3,   1.9,  10.4,   8.0,  10.9,  14.1,,,,,,,   9.6
Boston - Haynes Early Education Center,00350010,  14.5,,,,,,,,,,,,  14.5
Boston - Henderson K-12 Inclusion School Lower,00350266,  13.4,,,,,,,,,,,,  13.4
Boston - Henderson K-12 Inclusion School Upper,00350426,,,  11.1,  15.7,  10.2,  19.6,  22.1,   7.9,  23.5,   4.4,   9.0,   1.5,  12.1
Boston - Hennigan K-8 School,00350153,  22.0,  10.3,   0.0,   4.8,  18.9,  12.2,  28.8,   1.4,,,,,  13.6
Boston - Hernandez K-8 School,00350691,   6.1,  10.2,   6.0,  10.4,  17.0,  15.9,  19.4,   0.0,,,,,  10.9
Boston - Higginson Inclusion K0-2 School,00350015,  19.0,  17.1,,,,,,,,,,,  18.1
Boston - Higginson-Lewis K-8 School,00350377,,,,  15.6,  18.5,   7.9,  10.0,  10.2,,,,,  11.7
Boston - Holmes Elementary School,00350138,  18.9,   8.2,  13.2,  11.9,  10.9,,,,,,,,  12.7
Boston - Horace Mann School for the Deaf Hard of Hearing,00350750,,,  22.2,,  33.3,  11.1,,  10.0,,   0.0,   0.0,,  11.1
Boston - Hurley K-8 School,00350182,   8.2,  10.9,  10.6,   6.8,   8.1,  14.3,  40.6,   0.0,,,,,  12.3
Boston - Irving Middle School,00350445,,,,,,,  34.2,   9.2,,,,,  21.9
Boston - Jackson-Mann K-8 School,00350013,  16.7,  21.3,   7.8,  16.7,  14.5,  17.2,  53.4,  12.5,,,,,  20.4
Boston - Kennedy John F Elementary School,00350166,   8.7,  11.1,  11.5,   6.6,  13.6,,,,,,,,  10.4
Boston - Kennedy Patrick J Elementary School,00350264,   7.9,   5.6,   0.0,   6.9,  23.4,   4.5,,,,,,,   8.7
Boston - Kenny Elementary School,00350328,  10.5,  14.3,   7.7,   4.5,   8.8,   6.5,,,,,,,   8.6
