District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,,,,,,,,,,   5.8,   2.0,   5.6,   4.5
Erving,00910000,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,,,,,,,   0.0
Essex North Shore Agricultural and Technical School District,08170000,,,,,,,,,,   2.7,   2.5,   0.9,   2.1
Everett,00930000,  10.3,   7.7,   7.7,   5.4,   7.3,   4.9,   7.0,   6.1,   7.5,   4.7,   4.8,   3.4,   6.4
Excel Academy Charter (District),04100000,,,,,,   2.3,   6.9,   4.0,   8.0,   5.2,   3.0,   0.7,   4.4
Fairhaven,00940000,   4.2,   4.7,   0.7,   3.9,   3.0,   7.7,   5.4,   3.1,  36.5,   2.3,   3.2,   4.5,   6.8
Fall River,00950000,   6.9,   5.4,   5.0,   5.2,   6.3,  19.1,   7.2,   5.9,  29.8,   8.4,   6.0,   5.6,   9.3
Falmouth,00960000,   4.5,   1.6,   3.4,   3.1,   5.6,   3.9,   6.6,   4.6,  31.1,   7.1,   5.9,   3.6,   7.2
Farmington River Reg,06620000,  13.3,  14.3,   7.1,  20.0,  23.1,   0.0,,,,,,,  12.7
Fitchburg,00970000,   8.3,   7.7,   7.0,   7.6,   7.6,   6.8,  12.8,   5.3,  24.5,   7.7,   3.8,   4.8,   8.9
Florida,00980000,  20.0,  50.0,   0.0,   0.0,,   0.0,   7.7,  33.3,,,,,  13.0
Four Rivers Charter Public (District),04130000,,,,,,,,   2.7,   7.9,   2.6,  23.7,   2.8,   8.0
Foxborough,00990000,   6.4,   4.2,   3.9,   1.9,   1.2,   3.7,   1.9,   4.7,  12.5,   2.5,   2.2,   0.9,   3.8
Foxborough Regional Charter (District),04460000,  11.3,   5.6,   5.5,   4.9,  10.5,  11.1,   6.9,   6.9,  31.0,  10.8,   8.2,   1.6,  10.0
Framingham,01000000,   5.4,   4.3,   4.7,   6.1,   5.1,  20.8,   5.1,   4.8,  30.1,   6.7,   5.9,   1.8,   8.6
Francis W. Parker Charter Essential (District),04780000,,,,,,,,   7.0,   9.3,   9.9,   4.8,   1.8,   6.8
Franklin,01010000,   7.3,   5.5,   5.7,   6.8,   4.6,   2.9,   1.7,   2.1,  13.8,   2.7,   2.3,   1.4,   4.7
Franklin County Regional Vocational Technical,08180000,,,,,,,,,,   8.5,   2.8,   5.3,   5.8
Freetown-Lakeville,06650000,   3.8,   4.1,   2.5,   3.9,   4.0,   2.2,   3.3,   2.3,  26.0,   3.9,   1.9,   2.9,   5.3
Frontier,06700000,,,,,,,,   3.4,  32.3,   9.4,   2.8,   1.1,  10.5
Gardner,01030000,  13.5,  11.0,  10.3,   5.9,   6.1,   5.0,   7.3,   5.3,  27.6,   8.3,  11.6,   5.5,   9.6
Gateway,06720000,   5.3,   8.0,   5.7,   1.5,   1.3,   4.5,   7.5,   3.1,  37.5,   7.9,   0.0,   5.2,   7.6
Georgetown,01050000,   4.6,   1.0,   2.2,   1.0,   2.3,   5.0,   7.6,   1.1,  24.1,   3.2,   3.3,   1.0,   4.8
Gill-Montague,06740000,   6.1,   5.1,  10.4,   5.6,   6.7,   6.2,  20.0,  13.7,  54.7,   9.8,   6.8,   5.9,  13.4
Global Learning Charter Public (District),04960000,,,,,,   3.4,   4.5,   1.1,  51.6,   7.3,   4.0,   0.0,  13.3
Gloucester,01070000,   4.5,   6.0,   2.8,   1.7,   3.2,   5.8,   4.9,   2.6,  13.5,   3.4,   4.9,   1.9,   4.6
Grafton,01100000,   5.4,   3.4,   5.5,   4.2,   1.8,   3.7,   3.7,   1.2,  15.4,   2.5,   4.8,   2.5,   4.6
Granby,01110000,   1.7,   5.4,   4.2,   5.3,   4.5,   2.2,  15.4,   5.3,  14.8,   3.0,   1.9,   0.0,   5.4
Greater Fall River Regional Vocational Technical,08210000,,,,,,,,,,   1.6,   1.1,   1.2,   1.3
Greater Lawrence Regional Vocational Technical,08230000,,,,,,,,,,   3.9,   2.8,   1.6,   2.8
Greater Lowell Regional Vocational Technical,08280000,,,,,,,,,,   1.6,   1.9,   1.6,   1.7
Greater New Bedford Regional Vocational Technical,08250000,,,,,,,,,,   1.7,   2.5,   3.9,   2.7
Greenfield,01140000,   7.4,   8.7,   4.9,   5.7,  16.2,   9.7,  16.0,  12.3,  26.6,  12.1,   4.8,   4.3,  10.9
Greenfield Commonwealth Virtual District,39010000,  20.0,  20.8,  34.8,  18.2,  35.7,  19.2,  26.9,  21.2,  35.4,  30.8,  32.5,  23.0,  27.5
Groton-Dunstable,06730000,   4.2,   1.2,   4.1,   3.2,   3.1,   4.1,   3.3,   1.5,  10.7,   3.3,   2.1,   0.6,   3.4
Hadley,01170000,   5.9,   4.2,   5.7,   5.7,   0.0,   4.2,  16.7,   0.0,  28.6,   5.4,   2.7,  15.2,   8.6
Halifax,01180000,   3.8,   4.3,   2.0,   4.9,   4.7,   2.4,,,,,,,   3.6
Hamilton-Wenham,06750000,   3.9,   2.1,   1.6,   2.5,   0.7,   3.1,   2.2,   0.8,  17.4,   3.7,   1.4,   2.2,   3.5
Hampden Charter School of Science East (District),04990000,,,,,,,   7.3,  20.2,  25.0,  15.1,  13.6,  18.3,  16.6
Hampden Charter School of Science West (District),35160000,,,,,,,  10.9,  20.3,  30.6,  24.2,,,  20.5
Hampden-Wilbraham,06800000,   2.8,   3.6,   0.5,   2.6,   3.0,   6.1,   3.8,   3.1,   2.2,   1.8,   3.2,   2.7,   2.9
Hampshire,06830000,,,,,,,,   1.5,  35.2,   2.2,   1.0,   3.3,   8.8
Hancock,01210000,  16.7,,,,  14.3,,,,,,,,  10.7
Hanover,01220000,   2.0,   1.8,   2.0,   3.6,   2.0,   2.8,   3.2,   1.4,   9.3,   4.1,   1.4,   0.0,   2.8
Harvard,01250000,   8.6,   4.1,   4.2,   2.5,   4.1,   4.5,   5.3,   5.0,   5.3,   3.9,   2.0,   1.1,   4.1
Hatfield,01270000,   9.1,   4.8,   3.0,  10.7,   2.9,  10.8,   9.8,   6.1,  28.1,  11.4,  12.0,   0.0,   9.2
Haverhill,01280000,   7.0,   5.4,   6.6,   7.6,   5.6,   6.3,   6.8,   4.7,  42.5,   8.2,   4.2,   3.5,   9.3
Hawlemont,06850000,   0.0,  22.7,   0.0,   5.6,   5.3,   0.0,,,,,,,   6.7
Helen Y. Davis Leadership Academy Charter Public (District),04190000,,,,,,,  18.9,  23.7,,,,,  21.1
Hill View Montessori Charter Public (District),04550000,   2.8,   2.9,   0.0,  11.4,   8.6,   0.0,   0.0,   2.9,,,,,   3.6
Hilltown Cooperative Charter Public (District),04500000,   0.0,   5.0,   0.0,   4.8,   0.0,   0.0,  18.8,  10.3,,,,,   5.9
Hingham,01310000,   2.4,   3.2,   2.3,   1.2,   1.0,   3.9,   6.2,   2.9,   9.0,   2.9,   3.8,   2.6,   3.5
Holbrook,01330000,   6.0,   5.9,   8.2,   3.8,   4.5,   5.7,   8.1,   0.9,  23.3,   9.0,   5.9,   5.3,   7.2
Holland,01350000,   6.7,   3.4,   3.3,  14.3,   3.1,   8.3,,,,,,,   6.4
Holliston,01360000,   0.6,   2.4,   2.2,   1.8,   4.0,   5.2,   2.5,   2.6,  13.8,   3.2,   1.5,   0.4,   3.4
