ORG4CODE,DISTRICT_ID,DISTRICT_N,TOTAL_POPULATION,RLVNT_POP,POV_HOUSEHOLD,PERCENT,,,,,,,,
0780,12930,Whitman-Hanson    ,26001,4374,244,5.6%,,,,,,,,
0342,13050,Wilmington    ,23955,4268,117,2.7%,,,,,,,,
0343,13080,Winchendon    ,10749,1863,210,11.3%,,,,,,,,
0344,13110,Winchester    ,22931,4675,94,2.0%,,,,,,,,
0347,13200,Woburn    ,41719,5243,404,7.7%,,,,,,,,
0348,13230,Worcester    ,188196,25785,5791,22.5%,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
