District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Whately,03370000,       129,     1.6,     1.6,       127,   100.0
Whitman-Hanson,07800000,"     3,877",     6.3,     4.3,"     3,775",    96.4
Whittier Regional Vocational Technical,08850000,"     1,269",     2.8,     0.9,"     1,260",    97.9
Williamsburg,03400000,       145,     5.5,     4.8,       139,    98.6
Wilmington,03420000,"     3,200",     2.5,     1.3,"     3,170",    98.5
Winchendon,03430000,"     1,302",    10.9,     5.6,"     1,246",    93.7
Winchester,03440000,"     4,762",     2.9,     1.9,"     4,689",    98.7
Winthrop,03460000,"     2,037",     8.1,     5.4,"     1,977",    94.6
Woburn,03470000,"     4,648",     8.1,     4.9,"     4,496",    95.4
Worcester,03480000,"    26,611",    12.9,     6.8,"    25,474",    92.8
Worthington,03490000,        95,     9.5,     8.4,        89,    96.6
Wrentham,03500000,       975,     6.5,     5.2,       956,    95.4
